,rangoAutovalores,pasos,iters,tiempo
297,220471.82244227792,0.75,567,0.009165287017822266
298,278204.0083830989,0.75,1482,0.024068355560302734
299,339131.4913032096,0.75,699,0.011339664459228516
300,25.91211218391877,0.99,281,0.004580497741699219
301,114.9028816141618,0.99,633,0.010260820388793945
302,231.3491313703673,0.99,647,0.010774612426757812
303,419.515993577398,0.99,379,0.006214618682861328
304,657.7491853432172,0.99,622,0.01538991928100586
305,857.6877459648322,0.99,707,0.020966053009033203
306,1483.8273551191069,0.99,7228,0.17954230308532715
307,2030.7927391811345,0.99,458,0.00810384750366211
308,2117.6608559459,0.99,184,0.003059864044189453
309,2735.6513281345874,0.99,1068,0.018526315689086914
310,3231.856718710456,0.99,776,0.012734174728393555
311,3320.067373794032,0.99,615,0.010101556777954102
312,4044.9189198031327,0.99,929,0.015195369720458984
313,4541.979730787354,0.99,2365,0.058487892150878906
314,5358.327269968615,0.99,298,0.010833024978637695
315,7158.959193446376,0.99,518,0.01936507225036621
316,7877.898881542444,0.99,284,0.011437416076660156
317,8992.498293699038,0.99,650,0.023995161056518555
318,9424.779561917385,0.99,398,0.006632328033447266
319,10671.350946713224,0.99,4491,0.07440471649169922
320,10861.256262531591,0.99,495,0.00815892219543457
321,11751.706248520317,0.99,296,0.004850625991821289
322,12800.039012785635,0.99,1545,0.03715801239013672
323,17306.77911561314,0.99,441,0.007241725921630859
324,15572.16801761354,0.99,250,0.004107475280761719
325,15947.106877596778,0.99,505,0.008291244506835938
326,16952.596051441335,0.99,558,0.009191751480102539
327,22269.913064011296,0.99,590,0.009698867797851562
328,17898.90024658939,0.99,258,0.004221916198730469
329,25451.95513079813,0.99,3029,0.05598759651184082
330,21442.82282836756,0.99,2563,0.043387651443481445
331,22866.662767526723,0.99,371,0.0065441131591796875
332,29421.98039366646,0.99,1261,0.020889759063720703
333,28416.31998802142,0.99,820,0.013993024826049805
334,32482.094148988665,0.99,1299,0.021393299102783203
335,30439.878482379267,0.99,821,0.013820886611938477
336,36281.78295469264,0.99,1032,0.01705145835876465
337,44598.22215255488,0.99,1327,0.021920442581176758
